source,target,weight
林黛玉,賈寶玉,93
林黛玉,王夫人,11
王夫人,賈寶玉,35
晴雯,賈寶玉,2
薛寶釵,賈寶玉,37
襲人,賈寶玉,37
紫鵑,賈寶玉,7
紫鵑,襲人,8
林黛玉,紫鵑,13
林黛玉,襲人,3
薛蟠,賈寶玉,21
賈寶玉,賈政,3
晴雯,林黛玉,2
晴雯,薛寶釵,3
林黛玉,薛寶釵,34
薛寶釵,襲人,2
薛寶釵,迎春,2
探春,薛寶釵,10
惜春,薛寶釵,2
王熙鳳,薛寶釵,6
探春,迎春,4
惜春,迎春,4
王熙鳳,迎春,2
惜春,探春,7
探春,王熙鳳,2
惜春,王熙鳳,2
林黛玉,迎春,5
王熙鳳,賈寶玉,17
王夫人,王熙鳳,1
探春,林黛玉,5
探春,賈寶玉,16
王夫人,薛寶釵,9
賈寶玉,賈母,27
林黛玉,賈母,5
薛寶釵,賈母,7
探春,賈母,2
薛蟠,襲人,2
王夫人,襲人,4
惜春,林黛玉,2
王夫人,賈母,11
林黛玉,王熙鳳,1
王熙鳳,賈母,13
史湘雲,賈寶玉,2
