id,count
林黛玉,174
賈寶玉,297
王夫人,71
晴雯,7
薛寶釵,112
襲人,56
紫鵑,28
薛蟠,23
賈政,3
迎春,17
探春,46
惜春,17
王熙鳳,44
賈母,65
史湘雲,2
