id,count
史湘雲,43
襲人,203
賈寶玉,238
薛寶釵,147
林黛玉,68
王夫人,182
賈政,36
賈母,79
王熙鳳,66
薛蟠,23
晴雯,17
麝月,9
探春,12
迎春,6
惜春,9
紫鵑,6
