source,target,weight
襲人,賈母,4
襲人,賈寶玉,77
賈寶玉,賈母,19
薛蟠,賈璉,3
晴雯,賈寶玉,5
王夫人,賈寶玉,20
王夫人,襲人,6
林黛玉,賈寶玉,121
薛寶釵,賈寶玉,27
林黛玉,薛寶釵,12
林黛玉,襲人,8
王熙鳳,薛寶釵,4
林黛玉,王熙鳳,5
晴雯,麝月,3
賈寶玉,麝月,23
襲人,麝月,5
惜春,迎春,7
史湘雲,賈母,3
史湘雲,賈寶玉,35
史湘雲,林黛玉,15
史湘雲,薛寶釵,9
王夫人,賈母,6
王熙鳳,賈母,10
王夫人,王熙鳳,11
林黛玉,紫鵑,3
紫鵑,賈寶玉,5
史湘雲,紫鵑,1
薛寶釵,襲人,5
王熙鳳,賈璉,25
王夫人,賈璉,1
林黛玉,賈璉,1
薛寶釵,賈母,18
王熙鳳,賈寶玉,4
林黛玉,王夫人,9
林黛玉,賈母,5
探春,賈寶玉,3
探春,林黛玉,3
史湘雲,探春,3
賈政,賈母,24
賈寶玉,賈政,22
王夫人,薛寶釵,3
史湘雲,王夫人,3
探春,迎春,4
惜春,探春,5
王夫人,賈政,22
賈寶玉,迎春,2
賈母,迎春,1
賈政,迎春,3
探春,賈政,3
薛寶釵,賈政,1
賈政,賈璉,3
